Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Albania,Baby Food,Online,C,2/14/2023,135425221,3/21/2023,552,255.28,159.42,140914.56,87999.84,52914.72
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2/20/2023,871543967,3/20/2023,4118,154.06,90.93,634419.08,374449.74,259969.34
Europe,Denmark,Fruits,Offline,L,2/8/2023,210638015,3/28/2023,1593,9.33,6.92,14862.69,11023.56,3839.13
Sub-Saharan Africa,Ethiopia,Baby Food,Online,M,2/24/2023,957081544,3/23/2023,4146,255.28,159.42,1058390.88,660783.32,397607.56
Asia,Turkmenistan,Cereal,Online,H,2/18/2023,685213223,3/29/2023,3122,205.70,117.11,642194.40,365661.42,276532.98
Sub-Saharan Africa,Eritrea,Cereal,Online,H,2/6/2023,144267245,3/28/2023,2715,205.70,117.11,558475.50,317933.65,240541.85
Europe,Armenia,Clothes,Offline,H,2/11/2023,902102267,3/27/2023,4758,109.28,35.84,519950.24,170506.72,349443.52
Sub-Saharan Africa,Guinea,Office Supplies,Online,C,2/3/2023,420330799,3/22/2023,7582,651.21,524.96,4937873.22,3980215.72,957657.50
Europe,Bosnia and Herzegovina,Baby Food,Offline,C,2/22/2023,156924676,3/31/2023,9145,255.28,2334.06,2334.06,159.42,1458061.90,1457901.90
Asia,Kazakhstan,Snacks,Online,C,2/16/2023,620634021,3/20/2023,3067,152.58,97.44,468063.86,298860.48,169203.38
Sub-Saharan Africa,Mauritania,Household,Offline,M,2/10/2023,834650927,3/29/2023,6427,668.27,502.54,4294822.29,3229819.58,1065002.71
Europe,Lithuania,Beverages,Offline,C,2/13/2023,582343968,3/30/2023,7043,47.45,31.79,334190.35,223886.97,110303.38
Asia,Maldives,Fruits,Offline,L,2/5/2023,353027112,3/18/2023,2134,9.33,6.92,19910.22,14768.28,5141.94
Sub-Saharan Africa,Sao Tome and Principe,Snacks,Offline,H,2/25/2023,142278373,3/27/2023,2408,152.58,97.44,367412.64,234615.52,132797.12
Europe,Czech Republic,Fruits,Online,M,2/7/2023,718050781,3/26/2023,7852,9.33,6.92,73259.16,54343.84,18915.32
Asia,Myanmar,Household,Offline,H,2/28/2023,299953228,3/24/2023,8302,668.27,502.54,5547826.54,4172088.08,1375738.46
Sub-Saharan Africa,Comoros,Cosmetics,Online,H,2/19/2023,231893579,3/9/2023,9845,437.20,263.33,4304204.00,2592413.85,1711790.15
Europe,Poland,Baby Food,Online,C,2/9/2023,620491824,3/20/2023,3330,255.28,159.42,850082.40,530868.60,319213.80
Asia,Kyrgyzstan,Vegetables,Offline,M,2/17/2023,542126174,3/5/2023,5398,154.06,90.93,831407.88,490839.14,340568.74
Sub-Saharan Africa,Djibouti,Office Supplies,Online,L,2/12/2023,712683339,3/17/2023,2783,651.21,524.96,1812517.43,1460958.68,351558.75
